county,state,fips,cases,deaths,population,casespc,deathspc,cty,county_name,cty_pop2000,cz,cz_name,cz_pop2000,statename,state_id,stateabbrv,csa,csa_name,cbsa,cbsa_name,intersects_msa,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,brfss_mia,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,summer_tmmx,summer_rmax,winter_tmmx,winter_rmax,pm25,bmdeaths,bmcruderate,pm25_mia
Chilton,Alabama,01021,3453,40,762303,452.96948,5.2472572,1021,Chilton,39593,10700,Birmingham,1038182,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",13820,"Birmingham-Hoover, AL",1,.18518518,.35294119,.090909094,.22222222,.36000001,.23529412,.18181819,.55555558,.48148149,.64705884,.81818181,.77777779,0,19.997862,10632.88,.1113354,.15755509,.11857118,.10473447,.24873756,84.7451190219431,83.92857142857139,69.4196428571429,82.8125,62.0938628158845,68.19999980926509,.0067593311,.0077334726,.0050579668,.074435912,.39097571,.15702289,.066430002,.52104998,-.1755972283275127,62.710579,10.433662,2.9096053,.043664124,.29338169,.49056143,.59715176,.16912313,1.8866971,.0268481802338797,.022428207006289,57.052181,.22376037,28448.609,109039.4,4.091896144767899,18.01823760818253,-12.330642,.00021678457,9.8999996,,,46.144299,.17110266,.0053039677,1100.3759,.010729565,0,305.77023,95.934784,287.4454,85.880844,11.889927,8150,1069.1,0
Choctaw,Alabama,01023,3468,89,258214,1343.072,34.467533,1023,Choctaw,15922,10802,Demopolis,63233,Alabama,1,AL,,,,,0,.14634146,.17073171,.18518518,.16666667,.51948053,.27027026,.2962963,.17391305,.62195122,.68292683,.77777779,.70833331,0,17.898106,10079.29,1.2800556,.19694296,.097032875,.14813566,.14985444,87.698597132126,84.3230403800475,61.7577197149644,78.8598574821853,66.8604651162791,63.6999999284744,.0096906079,.0055265175,.014627681,.1426055,.4696517,.24513915,.073830001,.38282001,-.064120686346551,51.632957,43.870117,.6720261,.064941652,-.054456916,.036507662,.48661977,.26293656,.55269438,.0068458736339656,.0149478708704937,17.429403,.25628331,27724.395,80646.5,5.843547773125237,16.13958888465931,-14.783903,.040522754,9.6000004,,,43.134087,.28218779,.0025122473,1079.8477,.0071870135,0,306.61063,96.913734,289.00244,88.204903,10.419295,3077,1191.6,0
Clarke,Alabama,01025,3027,60,472616,640.47766,12.695296,1025,Clarke,27867,11001,Mobile,599405,Alabama,1,AL,,,,,1,.06666667,.11111111,.090909094,0,.43333334,.6111111,.30000001,.27272728,.5,.66666669,.63636363,.84615386,0,16.63706,10074.33,.47265205,.18950894,.088858187,.12681915,-1.1634821,81.77970979226011,78.76588021778581,54.26497277676949,71.50635208711429,62.18181818181821,108.329999923706,.012029151,.0061560981,.010905664,.03535578,.4640328,.22588158,.074720003,.42315999,-.627652465333351,57.462234,42.767433,.64592528,.089300223,.0059562488,.10217349,.54253238,.28811756,.53468257,.0143538952883339,.0205260702623174,22.502872,.36211342,28073.506,90510.7,4.494454382826476,16.6511091234347,-16.948982,-.035240043,12.1,,,42.71294,.26443851,.0073922561,1918.3553,.013171894,0,306.53989,97.061485,289.54141,87.381958,10.589687,5172,1094.3,0
Clay,Alabama,01027,1247,57,250712,497.38345,22.73525,1027,Clay,14254,9500,Talladega,148252,Alabama,1,AL,,,,,0,.15000001,.33333334,.33333334,.2,.60000002,.33333334,0,.25,.25,.52380955,.66666669,.80000001,0,18.777563,10799.9,-.26656881,.18329878,.088627644,.099437177,-1.0222834,86.3657274679243,80.95238095238092,58.5714285714286,78.09523809523809,58.1699346405229,144.319999694824,.004415689,.0065139215,.0020022574,.061163545,.38402018,.17108934,.06498,.49074,-1.087436609459632,74.000282,15.56756,1.7749405,.055295952,.040210173,.11497516,.55892557,.374199,.89097798,.0148028623544268,.0227304616248071,23.557451,.3312937,26455.26,82912.59999999999,4.522560740455071,15.98395680678751,-14.825784,-.021693489,7.8000002,,,44.895561,.19052988,.0034376315,1797.3136,.0056194258,0,304.6604,97.482521,286.39188,87.788887,11.376187,3271,1304.7,0
Cleburne,Alabama,01029,757,43,263977,286.7674,16.289297,1029,Cleburne,14123,9600,LaGrange,457299,Alabama,1,AL,,,,,1,.21428572,.40000001,0,.2,.42857143,0,0,0,.5,.80000001,.75,.80000001,0,17.618818,10151.71,-.56438541,.15545525,.082959257,.11320359,-1.2118591,82.94655113560272,78.7545787545788,53.4798534798535,75.4578754578755,50.30303030303029,91.6499998569489,.0027095079,.0041564754,.0011763962,.10103508,.29578501,.13946016,.0385,.62272,-.8898064126737776,69.36203,3.6890178,1.4019684,.047680411,.12131798,.17057455,.5873372,.27407888,.94172627,.0282517878637683,.0301635629823692,25.210135,.25843072,27411.094,95042.89999999999,4.589631974673526,18.63521962801741,-7.7140446,.011222509,9.1999998,,,52.032295,.13562092,.0038943568,943.28357,.0075371191,0,304.42285,97.682869,285.91595,87.912941,11.362885,3077,1165.6,0
Coffee,Alabama,01031,6753,23,856929,788.04663,2.6840029,1031,Coffee,43615,10302,Dothan,223605,Alabama,1,AL,222,"Dothan-Enterprise-Ozark, AL",21460,"Enterprise, AL",1,.19607843,.28947368,.1,.17142858,.36956522,.27777779,.36666667,.2647059,.60784316,.7368421,.69999999,.77142859,0,18.114489,9246.25,.72971117,.17874269,.11459731,.11984806,.054357272,85.97460887167639,84.0772014475271,63.44993968636909,81.30277442702049,70.1902748414376,95.1499998569489,.064815201,.061779473,.079233132,.11228447,.44852901,.14695911,.1181,.51354003,-1.35960526775492,69.583855,18.227674,2.7123694,.056401812,.13188696,.18030787,.59588259,.16889137,2.6550498,.0412931330964118,.0365929152814399,64.235115,.37610835,33960.359,102107.8,4.505553952629561,16.83546657132642,-5.623281,.010352186,19.299999,1560,-.030344421,43.485626,.22706956,.0072602741,1761.2327,.010937006,0,306.13113,97.280724,289.71286,87.309998,10.916881,8583,1001.6,0
Colbert,Alabama,01033,3408,94,980619,347.53558,9.5857821,1033,Colbert,54984,6200,Florence,230941,Alabama,1,AL,,,22520,"Florence-Muscle Shoals, AL",1,.3548387,.25,0,.19047619,.40983605,.46341464,.41666666,.2857143,.5,.59090906,.66666669,.90476191,0,14.653066,10491.2,1.632327,.19835804,.11011919,.14908095,.44205076,85.96802524687392,89.6472392638037,58.2822085889571,89.8773006134969,65.00691562932229,69.5799999237061,.0296719,.032986477,.023030855,.08810927,.42495948,.13959989,.079049997,.50655001,-.5458786572503289,66.826714,16.542995,1.1239634,.062548444,.0085291369,.028638914,.56196135,.21183908,.88207477,.0249527135166594,.024443474465299,92.482773,.34845638,33145.203,96375.89999999999,5.865719158612849,16.0787833996589,-8.2965536,-.0009826154,14.1,1440,-.25408888,41.822567,.21465051,.0028190019,3000.7356,.015131091,0,305.19257,95.569733,284.68167,86.959808,11.199233,11854,1208.8,0
Conecuh,Alabama,01035,804,11,240029,334.95953,4.5827794,1035,Conecuh,14089,11002,Atmore,76853,Alabama,1,AL,,,,,0,.27272728,.44444445,0,0,.30000001,0,0,0,.45454547,.77777779,0,0,1,18.634174,11669.29,.71257794,.16498853,.10173307,.14261723,-1.8775021,88.3112941260399,74.7747747747748,53.1531531531532,70.5705705705706,58.2352941176471,178.849999904633,.013162768,.012470606,.006538528,.028252022,.48266381,.26588976,.14462,.40944999,-1.015297524133028,42.068279,43.232311,.72396904,.066629022,-.1130068,-.074016832,.49572492,.25868806,.38327771,.0144084037192136,.0285328980055362,16.559826,.28955352,25457.959,78113.8,4.705177578091569,17.26456996148909,-16.57288,.032350775,9.1999998,1500,-.083013147,40.745705,.31917271,.005323302,1129.0736,.0088832434,0,306.17935,97.42025,289.63303,88.503006,10.375138,3087,1286.1,0
Coosa,Alabama,01037,1593,49,205706,774.40619,23.820404,1037,Coosa,12202,9500,Talladega,148252,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",45180,"Talladega-Sylacauga, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.779089,10470.18,2.0715551,.21965416,.097187594,.165444,-.57020849,84.4129292943701,85,58.33333333333329,74.4444444444444,62.60162601626021,100.039999961853,.01320626,.0087546771,.018259281,.17251123,.33103499,.14930438,.074500002,.47046,-1.943820367593241,27.806917,33.986233,1.2948697,.061774615,.07251472,.10898662,.54324073,.37099773,.31961975,.0417964268152762,.0468775610555647,18.702007,.22566183,27354.184,79313.5,4.442463533225284,19.11156131820637,-26.004416,-.00083202939,8,,,39.321808,.22879544,.0048352727,1123.7458,.0067714783,0,305.52481,96.408501,287.42978,87.180138,11.841385,2435,1183.7,0
Covington,Alabama,01039,2372,40,675056,351.37827,5.9254341,1039,Covington,37631,11102,Troy,80901,Alabama,1,AL,,,,,0,.3255814,.21212122,.16666667,0,.39024389,.51612902,.33333334,.21428572,.62790698,.66666669,.5,.53333336,0,17.539841,10976,.18136926,.1751004,.096851334,.11677866,-.5418939,88.7352929694288,85.6812933025404,61.7782909930716,78.2909930715935,66.19718309859159,153.30999994278,.017771985,.012928959,.015587445,.12103979,.46358642,.18449667,.10436,.48109999,-1.120404114182125,69.929047,12.271797,.77595598,.057652671,.02119403,.024708854,.55917954,.18916623,.57399482,.0179639127315245,.0156785628869815,36.400093,.42118177,29839.672,75581.09999999999,4.367982770997846,16.63885139985642,-3.1976237,.017030468,12.2,1516.0396,-.12711516,46.687706,.21482766,.0058196699,2507.4565,.010779502,0,306.44263,98.024849,290.17572,89.344978,10.466828,9114,1350.1,0
Crenshaw,Alabama,01041,1675,38,248758,673.34515,15.27589,1041,Crenshaw,13665,11102,Troy,80901,Alabama,1,AL,,,,,0,.2,.33333334,0,.14285715,.1875,.3888889,.40000001,.2857143,.55000001,.72222221,.89999998,.85714287,0,18.919851,9528.049999999999,2.2417452,.23661602,.12083336,.13592167,-.55686867,82.82940074652902,77.41935483870969,69.5852534562212,74.1935483870968,58.8235294117647,87.95999979972839,.012849685,.0053859428,.01444995,.024454743,.40175489,.22106205,.058510002,.43555,-2.026821927574274,58.4925,24.654226,.63666302,.054692663,-.031537917,.064083733,.5407297,.1598023,.26344675,.0253933406512989,.0276619099890231,22.417065,.27651444,28369.6,68382.89999999999,4.510629428928721,17.75443934972905,-15.437658,-.0058589322,11.2,,,49.146595,.2644676,.010245152,1166.4099,.0077446722,0,306.11023,97.438988,289.21802,89.494995,10.818461,3237,1301.3,0
Cullman,Alabama,01043,3452,17,1430571,241.30225,1.1883367,1043,Cullman,77483,10700,Birmingham,1038182,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",18980,"Cullman, AL",1,.20560747,.30487806,.18181819,.25581396,.23076923,.28048781,.25,.29268292,.63551402,.78313255,.69696969,.72093022,0,18.920174,10559.13,1.2787137,.18536574,.11957887,.13375047,.66924542,86.0137684154643,87.942238267148,67.4368231046931,83.6823104693141,71.2101910828025,64.6299998760223,.012122912,.016046096,.0097403424,.09276212,.39443851,.12999162,.091150001,.57138002,-.78950284293053,71.158829,.93697971,2.1785424,.042034995,.25698388,.39427137,.60186201,.22996694,1.7165055,.0210626847179381,.0201076365138159,104.92966,.28210953,31528.854,113305,4.203968598372677,18.68718496018389,-5.0550866,.012681869,11.9,1200,.10905205,48.457314,.14520214,.0047898781,1798.4115,.010455132,0,305.04861,95.420837,285.43341,85.915649,11.699903,16582,1159.1,0
Dale,Alabama,01045,2356,0,891078,264.39886,0,1045,Dale,49129,10302,Dothan,223605,Alabama,1,AL,222,"Dothan-Enterprise-Ozark, AL",37120,"Ozark, AL",1,.22727273,.23999999,.22222222,.20833333,.35714287,.22448979,.47368422,.39130434,.63636363,.63999999,.84210527,.875,0,14.870332,10397.68,.0075987377,.16290118,.0894664,.12593019,.18307713,83.3770015866621,83.87516254876461,67.36020806241871,81.5344603381014,68.141592920354,78.6199998855591,.025659315,.032988418,.016242845,.075942725,.4117333,.15093543,.10967,.54728001,-2.529646849362331,48.620979,20.155102,3.3422217,.050581165,.027352,.039422046,.62272567,.13902037,3.059293,.0512121150440677,.0626920963178571,87.562431,.37948522,28494.76,91977,4.640475114656895,16.52825331445488,-10.740955,.0021019205,14,,-.15857564,43.99041,.25011027,.005777115,1190.599,.010694904,0,306.16888,96.8937,289.82254,86.052078,10.872222,8382,940.70001,0
Dallas,Alabama,01047,5214,129,789694,660.25574,16.335442,1047,Dallas,46365,10801,Tuscaloosa,261112,Alabama,1,AL,,,42820,"Selma, AL",1,.28965518,.21428572,.06666667,.041666668,.52482271,.45588234,.40000001,.26086956,.55479455,.60000002,.71111113,.83333331,0,16.060736,9813.200000000001,.40399811,.16971822,.10731547,.11986308,-1.1493473,79.51551701673699,69.8595146871009,61.0472541507024,68.8378033205619,65.3225806451613,84.70999979972839,.06056961,.063129671,.055817764,.21251595,.53566337,.31054857,.11566,.34358999,-1.17214949385858,43.608326,62.980698,.62547183,.084006369,-.14108668,-.17868814,.49975505,.24572802,.69448936,.0121427801143104,.0203601854847406,47.276848,.37600324,26798.918,85445.3,4.45077720207254,17.2698872295032,-21.956573,-.025036706,13.9,3190.3149,-.12271564,37.322254,.44148669,.0071605737,1338.0636,.01614443,0,306.33389,96.005066,288.36398,86.61174,11.764776,9825,1244.2,0
DeKalb,Alabama,01049,6613,104,1237389,534.43176,8.4047947,1049,DeKalb,64452,6100,Gadsden,304068,Alabama,1,AL,,,,,1,.19,.22033899,.16666667,.125,.30303031,.33333334,.5,.30434781,.56999999,.66101694,.625,.83333331,0,23.459303,10361,2.3830919,.2211687,.12875797,.14563632,-.10410786,85.6761971459443,87.9182156133829,57.4349442379182,85.22304832713751,61.3458528951487,94.5299999713898,.010909351,.0033996063,.011061754,.12988776,.44149879,.15391023,.13011999,.54356998,-1.238196230111803,59.979523,1.650841,5.5514183,.043788217,.20116292,.36034688,.61502177,.39614072,4.1084838,.0192080928442872,.0221715385092782,82.852493,.30637503,29350.537,89577.59999999999,4.500640583423671,17.65903222627378,-13.84806,.01875381,8.3000002,1320,.08798638,48.213566,.16586827,.0048557245,1534.1531,.010409107,0,303.82199,97.443008,283.93381,88.863327,10.660028,13014,1051.7,0
Elmore,Alabama,01051,7804,182,1353407,576.61884,13.447544,1051,Elmore,65874,11101,Montgomery,367927,Alabama,1,AL,,,33860,"Montgomery, AL",1,.39130434,.22105263,.125,.1724138,.31343284,.23595506,.24193548,.12727273,.48571429,.80000001,.796875,.75862068,0,14.295886,10227.08,.55572534,.17458519,.09368626,.13675912,.20084383,82.9032940523807,83.7164750957854,71.16858237547891,79.7892720306513,68.9597315436242,84.19999980926509,.038734358,.03656802,.041287985,.057417262,.378218,.10243886,.060199998,.54000998,-2.008393728834009,46.519112,20.501261,1.2220299,.038633361,.51818389,.68939352,.59009701,.14537004,1.0823694,.0544676200018217,.0380726842153202,106.03364,.17786662,31156.057,130634,3.873856439127375,19.34277797325827,-11.703697,.013226914,16.6,,,43.720287,.19124396,.006213977,1141.4347,.00799149,0,305.93518,96.203766,288.08057,87.153763,11.883183,11839,874.79999,0
Escambia,Alabama,01053,1618,98,683727,236.64417,14.333206,1053,Escambia,38440,11002,Atmore,76853,Alabama,1,AL,,,,,0,.27777779,.31578946,0,.21428572,.44117647,.2631579,.54545456,.15384616,.5,.52631581,.83333331,.71428573,0,19.473291,11176.82,1.0358666,.18258208,.11465072,.13027647,-1.2363148,86.56658874874969,74.57627118644071,57.99031476997579,72.39709443099269,61.7777777777778,130.45999956131,.020129839,.016659342,.022152714,.16432965,.4873572,.20869589,.13828,.47277999,-1.290508302888249,53.059315,30.69459,.98595208,.055973958,0,.056403361,.52031392,.22126319,.60874087,.0189906347554631,.0239334027055151,40.574936,.42332414,26024.191,88911.09999999999,4.823430062951021,17.63012436665131,-14.559085,-.0051364521,10.6,1560,.035238888,43.472733,.26557377,.008272633,1472.1268,.012149153,0,306.28168,98.222954,290.12201,88.600632,10.552211,7993,1169,0
